date,clicks_ads,cost_micros_ads,impressions_ads,transactions_anal,transactionRevenue_anal,sessions_anal,adCost_anal
2021-05-31,346522,1184214.398,19851722,8999,3200738.85,989378,4042128.9
2021-06-30,141354,858247.5379999998,8087220,8404,3078141.730000001,963507,2817542.82
2021-07-31,146407,1029044.596,7366992,8495,2910718.879999999,889622,2615291.4
2021-08-31,131695,1199747.346,5939399,9741,3246495.3099999996,870353,3578094.04
2021-09-30,162024,1356936.4899999995,8547897,11276,3960205.8600000003,981718,3702509.3900000006
2021-10-31,224201,1529943.08,21896393,10615,3275971.55,729663,4623069.67
2021-11-30,166551,1567358.1589999995,7501905,13004,4135026.190000001,927335,3911178.7599999993
2021-12-31,133153,1979368.8070000003,5061453,13684,4779379.66,1268143,6599514.769999999
2022-01-31,8885,69651.15599999999,285222,1060,301890.33,49019,105137.44
